DamName,DamType,Province,DamLink,DamDescription
西霞院水电站,水利口管辖电站5座,河南省,http://www.dam.com.cn/damView/view.jsp?id=1751,No description
小浪底水电站,水利口管辖电站5座,河南省,http://www.dam.com.cn/damView/view.jsp?id=1699,No description
桐城抽水蓄能电站,其他电站5座,安徽省,http://www.dam.com.cn/damView/view.jsp?id=2038,No description
宁国抽水蓄能电站,其他电站5座,安徽省,http://www.dam.com.cn/damView/view.jsp?id=2039,No description
金寨抽水蓄能电站,其他电站5座,安徽省,http://www.dam.com.cn/damView/view.jsp?id=2025,No description
佛子岭抽水蓄能电站,其他电站5座,安徽省,http://www.dam.com.cn/damView/view.jsp?id=2023,No description
响洪甸水电站,水利口管辖电站6座,安徽省,http://www.dam.com.cn/damView/view.jsp?id=1043,No description
姚家坪水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1752,No description
雅口水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=2394,No description
小河水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=2108,No description
峡口塘水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=2109,No description
新集水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1754,No description
王甫洲水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1768,No description
马渡河水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=2177,No description
泉河大峡水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=2068,No description
纳吉滩水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1267,No description
碾盘山水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1753,No description
淋溪河水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1769,No description
江坪河水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1757,No description
小东江水电站,注册电站21座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1147,"<td class=""nr3"" align=""left""><p>      小东江大坝位于湖南省资兴市境内耒水中上游，下距东江镇约1km，上距东江水电站9km，两电站之间无较大支流汇入，流域洪水主要是靠东江水库调节控制。小东江水电站以发电为主，是东江水电站的反调节电站，将东江水电站调峰、事故备用造成的断断续续径流量屯积于库中，再通过小东江水电站发电而均匀地向下游供水。水库正常蓄水位148 m（远景150m），与东江水电站尾水位相接。总库容1054万m<sup>3</sup>，兴利库容540万m<sup>3</sup>，反调节库容510万m<sup>3</sup>，经调节后下泄最小流量30 m<sup>3</sup>/s。电站装机容量55MW，工程为中等三级工程，大坝、发电厂房上游挡水坝段为3级建筑物。洪水标准采用100年一遇洪水设计、1000年一遇洪水校核。设计洪水位148.00m，相应下泄流量3500m<sup>3</sup>/s，校核洪水位151.00m，相应下泄流量5000m<sup>3</sup>/s。</p>
<p>      小东江电站拦河坝为闸坝式，坝顶高程152m，坝顶全长180m，最大坝高34m。左岸三孔溢洪道（宽×高=12×12.5 m），右岸为发电厂房，两岸接头为混凝土重力坝。发电厂房为河床式，厂房位于河床右岸，主厂房长100m，宽21.6m。装机容量5.5万kw，其中单机容量2.05万kw和0.7万kw水轮发电机组各两台。单机最大发电流量分别为170m<sup>3</sup>/s和58.2m<sup>3</sup>/s。</p>
<p>      小东江水电站于1984年4月开始施工准备，1986年12月截流，1987年5月底开始浇筑混凝土，1989年12月下闸蓄水，1990年10月开始发电，1992年6月全部竣工。</p></td>"
敷溪口水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1767,No description
株洲航电枢纽,水利口管辖电站15座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1775,No description
皂市水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1765,No description
修山水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2291,No description
夹河水电站,其他电站17座,湖北省,http://www.dam.com.cn/damView/view.jsp?id=1816,No description
渔潭水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2279,No description
渔潭水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=3038,No description
湘祁水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=3112,No description
潇湘水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2378,No description
洮水水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=3029,No description
洮水水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2352,No description
新街水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2262,No description
石磨岭水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2369,No description
向阳水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1837,No description
太洲水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2379,No description
江市水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2316,No description
龙家山水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=3144,No description
南津渡水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2380,No description
若水水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2319,No description
沙田水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2371,No description
凉水口水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1763,No description
黄虎港水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1762,No description
花岩水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2274,No description
双牌水电站,水利口管辖电站15座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1771,No description
归阳水电站,其他电站22座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2348,No description
遥田水电站,水利口管辖电站15座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1481,No description
梅林水库,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3131,No description
浯溪水电站,水利口管辖电站15座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1774,No description
土谷塘航电枢纽,水利口管辖电站15座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=2347,No description
木龙滩水电站,水利口管辖电站15座,湖南省,http://www.dam.com.cn/damView/view.jsp?id=1368,No description
乐滩水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1298,No description
桂平水电站,水利口管辖电站3座,广西,http://www.dam.com.cn/damView/view.jsp?id=1945,No description
瓦村水电站,其他电站2座,广西,http://www.dam.com.cn/damView/view.jsp?id=1670,No description
大藤峡水电站,其他电站2座,广西,http://www.dam.com.cn/damView/view.jsp?id=1673,No description
左江水利枢纽,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1289,No description
贵港水电站,水利口管辖电站3座,广西,http://www.dam.com.cn/damView/view.jsp?id=1778,No description
昭平水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1429,No description
百色水电站,水利口管辖电站3座,广西,http://www.dam.com.cn/damView/view.jsp?id=1671,No description
旺村水电站,备案电站1座,广西,http://www.dam.com.cn/damView/view.jsp?id=2088,No description
叶茂水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1310,No description
岩滩水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1061,No description
山秀水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1331,No description
西津水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1010,No description
桥巩水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1552,No description
下桥水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1366,No description
下六甲水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1363,No description
平班水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1311,No description
南山一级水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=2091,"<td class=""nr3"" align=""left""><p>    南山水利枢纽位于广西壮族自治区桂林市龙胜县平等乡和伟江乡境内，距龙胜县城75km，距桂林市176km。南山水利枢纽由由主坝、4座副坝、溢洪道一级电站、二级电站等组成，主要以发电为主。其中一级电站由南山水库、进水塔、引水隧洞、压力钢管、电站厂房组成，总装机容量60 MW （2×30 MW）。水库正常蓄水位1523.00m，设计洪水位1523.64m，校核洪水位1524.10m，死水位1488.00m，水库总库容1936万m<sup>3</sup>，为年调节水库。工程规模属Ⅲ等，主坝为三级建筑物。</p>
<p>    主坝为混凝土面板堆石坝，坝顶高程1525.00m，最大坝高60 m，坝顶宽7m，坝顶长290m。1<sup>#</sup>副坝布置在右库岸第二个低洼山口，为浆砌石重力坝，坝顶高程1525.00m，最大坝高25 m，坝顶宽4.0m，坝顶长173.8m。2<sup>#</sup>、3<sup>#</sup>副坝布置在主坝左岸坝头低洼山口，为均质土坝，坝顶高程1526.00m，坝顶宽4.0m；2<sup>#</sup>副坝坝顶长26.2m，最大坝高3.1 m；3<sup>#</sup>副坝坝顶长30.2m，最大坝高4.0 m。4<sup>#</sup>副坝布置在溢洪道右岸低洼山口，为均质土坝，坝顶高程1526.00m，最大坝高5.0m，坝顶宽4.0m，坝顶长25.0m。</p>
<p>    溢洪道布置在右岸第一山坳山口，为开敞式宽顶堰，堰顶高程1523.00m，校核下泄流量9m<sup>3</sup>/s，挑流消能。</p>
<p>    主体工程于2003年8月26日开工，2010年6月16日下闸蓄水，2<sup>#</sup>机组、1<sup>#</sup>机组分别于2011年5月4日、5月29日正式投产发电。</p></td>"
麻石水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1049,No description
洛东水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1011,No description
龙滩水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1389,"<td class=""nr3"" align=""left""><p>    龙滩水电站位于红水河上游，下距广西天峨县城15km。电站分两期开发，一期工程正常蓄水位375m，总库容162.1亿m<sup>3</sup>，装机容量4900MW；二期工程正常蓄水位400m，总库容272.7亿m3，装机容量6300MW。目前一期工程已完建，二期工程尚未实施。工程规模属一等大（1）型，永久性主要建筑物按1级建筑物设计。大坝设计洪水重现期为500年，校核洪水标准重现期提高到10000年；电站厂房和尾水系统设计洪水重现期为300年，校核洪水为1000年；次要建筑物及消能防冲洪水重现期为100年。</p>
<p>    龙滩水电站枢纽由挡水建筑物，泄水建筑物，引水发电系统及通航建筑物等组成。拦河大坝为碾压混凝土重力坝，泄水建筑物布置在河床坝段，由7个表孔和2个底孔组成；发电厂房系统布置于左岸地下；通航建筑物布置在右岸，采用二级垂直提升式升船机（待建）。一期工程坝顶高程382.00m，最大坝高192.00m。表孔溢洪道承担全部泄洪任务，消能型式为高低坎大差动式挑流消能。2个底孔对称布置于表孔溢洪道两侧，用于水库后期导流和放空。</p>
<p>    一期工程于2001年7月1日正式开工建设，2006年9月中国水电顾问集团公司完成蓄水安全鉴定，同年9月28日通过蓄水验收，9月30日水库开始蓄水，2007年5月21日首台机组投入运行；2008年12月一期主体工程全部完成。2010年6月中国水电顾问集团公司完成竣工安全鉴定。大坝运行单位为龙滩水电开发有限公司（以下简称龙滩公司），主管单位为中国大唐集团公司。</p></td>"
京南水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1309,"<td class=""nr3"" align=""left""><p><br><br>    京南水电站位于桂江下游广西梧州市京南镇，是一座以发电为主，兼有航运、灌溉、水产养殖、旅游等综合利用效益的工程，控制流域面积17388km<sup>2</sup>，总库容2.43亿m<sup>3</sup>，总装机容量6.9万kw。枢纽由拦河坝、发电厂房和船闸组成；拦河坝为混凝土重力坝，坝体总长443m，坝顶高程40.334m，最大坝高34.134m，正常蓄水位30.134m，死水位29.134m，设计洪水位34.874m，校核洪水位38.094m。该枢纽工程为三等低水头枢纽工程，设计洪水重现期为50年，校核洪水重现期为300年，地震基本烈度为6度。</p>
<p>    京南大坝于1993年9月18日开工兴建，1998年8月工程基本完工。 大坝运行单位为梧州桂江电力有限公司，主管单位为广西桂东电力股份有限公司。</p></td>"
拉浪水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1050,No description
金牛坪水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1362,No description
红花水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1393,No description
古顶水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1475,No description
合面狮水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1431,No description
金鸡滩水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1330,No description
大埔水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1437,No description
洞巴水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1974,No description
浮石水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1290,No description
大化水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1012,No description
长洲水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1367,No description
宝坛二级水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1337,No description
宝坛一级水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1336,No description
百龙滩水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1160,No description
西丽水库,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3136,No description
铁岗水库,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3134,No description
巴江口水电站,注册电站31座,广西,http://www.dam.com.cn/damView/view.jsp?id=1430,No description
松子坑水库,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3132,No description
潭岭水电站,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1005,No description
茜坑水库,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3133,No description
深圳水库,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3130,No description
罗田水库,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3135,No description
乐昌峡水电站,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1777,No description
飞来峡水电站,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1776,No description
南告水电站,水利口管辖电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1024,"<td class=""nr3"" align=""left""><p>     南告水电站位于广东省陆河县境内的螺河支流均前溪中游，东距陆河县城河田镇约10公里，是一座以发电为主、兼顾防洪的水电站工程。该枢纽工程为混合开发的高水头中型水电站。水库工程原按百年一遇洪水设计，千年一遇洪水校核，万年一遇洪水保坝。水库为年调节水库，设计、校核洪水位及正常高水位均为345m，死水位307m，保坝洪水位 346.37m；有效库容7110万<sup>3</sup>，总库容7870万<sup>3</sup>，相应水库面积3.25Km<sup>2</sup>，坝址以上集雨面积152.7Km<sup>2</sup>。水电站原装机容量3×15MW，复核设计多年平均发电量1.367亿kW.h。1994年增机扩容，增加4#机6.5MW，实际总装机容量51.5MW，多年平均发电量1.51亿kW.h。</p>
<p>      电站枢纽由浆砌石拦河坝、引水隧洞、压力钢管、发电厂房、变电站等主要建筑物组成。拦河坝高78m，坝顶长240m，坝顶高程347m。引水隧洞进水口底坎高程299.5m，隧洞内径3m，全长3130.7m；钢管全长886.91m。坝顶设有五扇12×12m的弧形闸门，溢洪道净宽60m，堰顶高程333m，正常高水位时，最大泄量4980m<sup>3</sup>/s。坝内299m高程处，设有一条孔径为2.2m的放水管。</p>
<p>      工程于1974年11月动工，1981年8月开始蓄水，1982年7月第一台机组开始发电，1985年12月竣工验收。。</p></td>"
深圳抽水蓄能电站,备案电站2座,广东省,http://www.dam.com.cn/damView/view.jsp?id=3111,"<td class=""nr3"" align=""left""><p>
</p><p>    深圳抽水蓄能电站位于深圳市东北部的盐田区和龙岗区内，处于珠江三角洲西南部，直线距离广州117km，距深圳市中心23km。工程任务承担广东和深圳电网调峰、填谷、调频、调相以及紧急事故备用。电站安装4×300MW的立轴单级可逆混流式机组，总装机容量1200MW。工程为一等大（1）型工程。主要水工建筑物挡水建筑物、电站进出水口为1级建筑物，按500年一遇洪水设计（洪峰流量42.5m3/s），5000年一遇洪水搅合（洪峰流量为52.1m3/s）。次要建筑物为3级建筑物。</p>
<p>    枢纽工程由上水库、下水库、输水系统、地下厂房洞室群及开关站等部分组成。上水库位于盐田区北面的小三洲盆地内，集雨面积0.62km2。上水库总库容983.0万m3，调节库容825.24万m3，水库水位最大消落深度24.81m，正常蓄水位526.81m，死水位502.00m。上水库枢纽包括：1座主坝、5座副坝和库周防渗处理等，其中主坝位于库盆南侧的冲沟沟口处，主坝的左右侧分别布置1#和5#副坝，2#、3#和4#副坝按逆时针依次布置在水库的北侧，3#副坝左岸与4#副坝的右岸相接，上水库进出水口布置在这两座副坝之间。主坝和4#副坝为碾压混凝土重力坝，其余4座副坝为风化土心墙石渣坝。主坝坝顶长335m，最大坝高57.80m；1#~5#副坝坝顶长分别为267.1m、80.0m、120.0m、390.0m、70.0m，最大坝高分别为26.50m、15.20m、22.20m、30.20m、11.20m。</p>
<p>    站址地震基本烈度为Ⅶ度，区域内地层以花岗岩为主。</p>
<p>    工程于2012年10月26日开工建设，2015年7月9日下闸蓄水。</p>
<p></p></td>"
清远抽水蓄能电站,备案电站2座,广东省,http://www.dam.com.cn/damView/view.jsp?id=2050,"<td class=""nr3"" align=""left""><p>    清远抽水蓄能电站位于广东省清远市清新县太平镇境内北江下游和珠江三角洲的北缘、北江一级支流秦皇河，距广州75km，距清远市32km。上水库位于清新县太平镇及龙颈镇交界处的甘竹顶盆地，下水库位于太平镇龙湾村秦皇河上现有大秦水库东北侧库尾。</p>
<p>    本工程总装机容量为1280MW，安装4 台单机容量320MW 的可逆式水泵水轮机组。上水库正常蓄水位612.5m，正常蓄水位相应库容1131.8万m<sup>3</sup>，发电调节库容1063.7万m3，死水位587.0m，死库容84.1万m3，校核洪水位613.3m，总库容1194.2万m<sup>3</sup>；下水库正常蓄水位137.7m，正常蓄水位相应库容1217.0万m<sup>3</sup>，发电调节库容1058万m<sup>3</sup>，死水位108.0m，死库容158.9万m<sup>3</sup>，校核洪水位142.45m，总库容1495万m<sup>3</sup>。电站调节性能为日调节。工程等别为一等，工程规模为大(1)型，上、下水库挡水及泄水建筑物、输水系统、厂房主要洞室（主副厂房、主变洞、母线洞、高压电缆洞等）及开关站等永久性主要建筑物为1 级建筑物。上、下水库挡水及泄水建筑物均按500 年一遇洪水设计、5000 年一遇洪水校核。上水库设计洪水位613.13m，下泄流量10.4m<sup>3</sup>/s，校核洪水位613.30m，下泄流量14.8m<sup>3</sup>/s。下水库设计洪水位141.84m，下泄流量435.3m<sup>3</sup>/s ，校核洪水位142.45m，下泄流量534.2m<sup>3</sup>/s。</p>
<p>    上水库建筑物包括：一座主坝、六座副坝、泄洪洞及生态放水管、库岸防护处理、上库进出水口等。下水库建筑物包括：挡水坝、泄洪洞及放水底孔、库岸防护处理等。</p>
<p>    清远抽水蓄能电站于2009年12月17日开工建设，2015年3月31日第一台机组发电，2015 年底电站建设完工。</p></td>"
新丰江水电站,注册电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1018,"<td class=""nr3"" align=""left""><p><font size=""2"">      新丰江水电站位于广东省河源市境内东江支流新丰江的亚婆山峡谷处，距河源市区6km。工程以发电为主，兼顾防洪、供水、航运、灌溉等综合利用的水利枢纽工程。水库控制流域面积5734km<sup>2</sup>，总库容139亿m<sup>3</sup>，属完全多年调节水库。正常高水位116m，设计洪水位121.6m，校核洪水位123.6m，死水位93.6m。电站装机4台，总</font><font size=""2"">装机容量335MW。<br><br>      新丰江水电站枢纽由大坝、坝后式厂房及放水隧洞等建筑物组成。大坝为混凝土单支墩大头坝，属Ⅰ级建筑物。坝顶高程124m，坝顶长度440m，最大坝高105m，坝顶宽度5m。大坝由19个宽18m的单支墩大头坝及两岸重力坝段组成，6<sup>#</sup>~9<sup>#</sup>为引水发电坝段，10<sup>#</sup>~13<sup>#</sup>为溢流坝段。溢洪道共3孔，溢流顶前沿净宽45m，堰顶高程111.6m，弧形钢闸门尺寸为15m×10m（宽×高），最大下泄流量3850m<sup>3</sup>/s，采用挑流消能。</font></p>
<p><font size=""2"">      工程于1958年7月动工兴建，1959年10月下闸蓄水，主体工程于1962年完工。四台机组分别于1960年、1961年、1966年、1976年相继投产发电，1969年10月竣工验收。</font></p></td>"
青溪水电站,注册电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1026,"<td class=""nr3"" align=""left""><p>      青溪水电站位于广东省大埔县大水坑村，电站以发电为主，坝址以上 集雨面积9157km<sup>2</sup>，水库总库容7468万m<sup>3</sup>，属日调节电站。青溪水电站枢纽工程为三等工程，大坝等主要建筑物为三级建筑物。工程按百年一遇洪水标准设计，五百年一遇洪水标准校核，正常蓄水位73.00m。电站总装机容量144MW(4×36MW)，设计年平均发电量3.71亿kw·h。</p>
<p>      电站枢纽由拦河坝、河床式发电厂房、左岸开关站、上、下游护坡以及右岸上、下游驳运码头等建筑物组成。拦河坝为混凝土重力坝，坝顶高程78.00m，坝顶长315.0m，坝宽6m，最大坝高51.5m。大坝共分18个坝段，其中1~5#为左岸重力坝段，6~9#为厂房坝段，10~15#为泄洪溢流坝段，16~18#为右岸重力坝段。溢流坝采用表孔泄流，设5孔泄洪弧形钢闸门，单孔净宽14m，溢流堰顶高程55.00m，泄水消能方式为面流消能，最大下泄流量为12710m<sup>3</sup>/s。</p>
<p>      工程于1988年3月开工，1992年12月第一台机组发电，1997年5月4台机组全部投产。</p>
<p> </p></td>"
蓬辣滩水电站,注册电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1469,No description
泉水水电站,注册电站11座,广东省,http://www.dam.com.cn/damView/view.jsp?id=1197,No description
